raw_variable, new_name
fipscode,fips
county,county
state,state_abbr
v168_rawvalue,hs_diploma_percentage
v023_rawvalue,unemployed_percentage
v051_rawvalue,population
v063_rawvalue,median_income
v167_rawvalue,school_segration_index
v151_rawvalue,gender_pay_gap
v085_rawvalue,uninsured__percentage
v169_rawvalue,school_funding_gap
v141_rawvalue,residential_segregation
v001_rawvalue,premature_death
v044_rawvalue,income_inequality
v024_rawvalue,child_poverty_percentage
v147_rawvalue,life_expectancy
v128_rawvalue,child_mortality
v136_other_data_1,high_housing_cost_percentage
v148_rawvalue,firearm_fatalities
v171_rawvalue,child_care_cost_burden
