state,ltss_total_enrollment,insitutional_enrollment,hcbs_enrollment,ltss_total_expense,insitutional_expense,hcbs_expense
Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
Alaska,18458.0,1574.0,17157.0,592077781.0,222700496.0,369377284.0
Arizona,161936.0,23312.0,142668.0,2641568282.0,720799066.0,1920769216.0
Arkansas,59121.0,22589.0,37853.0,1752395784.0,1128937921.0,623457863.0
California,462458.0,131303.0,343732.0,16148613872.0,7738300895.0,8410312977.0
Colorado,114536.0,13464.0,103693.0,3443418935.0,688824004.0,2754594931.0
Connecticut,82124.0,23733.0,63934.0,3652254954.0,1560324939.0,2091930016.0
Delaware,25773.0,4518.0,22276.0,847211964.0,280967424.0,566244540.0
"District of
Columbia",22421.0,5506.0,17517.0,,,
District of Columbia,,,,1174536156.0,434164930.0,740371226.0
Florida,231965.0,69337.0,169922.0,4910445350.0,1658580525.0,3251864825.0
Georgia,311746.0,37920.0,276968.0,3703097458.0,1512134272.0,2190963186.0
Hawaii,37687.0,3557.0,35099.0,523107889.0,262616588.0,260491300.0
Idaho,27004.0,3885.0,23859.0,770317375.0,197685209.0,572632165.0
Illinois,396605.0,86452.0,329192.0,6537603553.0,3479322767.0,3058280786.0
Indiana,126127.0,44744.0,87649.0,4525655573.0,2317578867.0,2208076707.0
Iowa,74297.0,18260.0,58653.0,2209538472.0,1012312261.0,1197226211.0
Kansas,60446.0,8898.0,52648.0,1163824201.0,402775972.0,761048229.0
Kentucky,67715.0,31225.0,38053.0,2866292674.0,1531711278.0,1334581396.0
Louisiana,96623.0,35989.0,62380.0,2731216377.0,1627964279.0,1103252098.0
Maine,28217.0,10169.0,18928.0,1356163616.0,498749235.0,857414381.0
Maryland,156364.0,23744.0,137219.0,4032633296.0,1321196140.0,2711437156.0
Massachusetts,181910.0,38752.0,150825.0,6559316932.0,2003004200.0,4556312732.0
Michigan,338025.0,41301.0,307430.0,4543820030.0,1516254243.0,3027565788.0
Minnesota,229820.0,19535.0,215583.0,7301142589.0,1128070746.0,6173071844.0
Mississippi,50662.0,21154.0,30699.0,1709532118.0,1124186346.0,585345772.0
Missouri,128409.0,33217.0,98302.0,3950047528.0,1262023422.0,2688024106.0
Montana,16750.0,3833.0,13555.0,444925945.0,170744337.0,274181608.0
National,9063188.0,1474778.0,7845187.0,200375815332.0,71000477264.0,129375338067.0
Nebraska,26186.0,8528.0,18683.0,1181105628.0,501353141.0,679752487.0
Nevada,63519.0,6211.0,57989.0,717811667.0,254636634.0,463175032.0
New Hampshire,27566.0,5387.0,22906.0,695806961.0,210872230.0,484934732.0
New Jersey,224319.0,40335.0,190966.0,5739634666.0,1915011244.0,3824623422.0
New Mexico,99025.0,8741.0,92386.0,1491978034.0,333890932.0,1158087103.0
New York,996996.0,137357.0,895482.0,32212361151.0,7860023520.0,24352337631.0
North Carolina,165118.0,39836.0,129233.0,5369770911.0,2864512666.0,2505258245.0
North Dakota,19207.0,4467.0,15306.0,705917441.0,419514320.0,286403120.0
Ohio,637661.0,82348.0,581714.0,8580062898.0,3578508978.0,5001553920.0
Oklahoma,70997.0,27748.0,45745.0,1461364678.0,790438088.0,670926590.0
Oregon,537232.0,6410.0,533621.0,2244459939.0,468608972.0,1775850967.0
Pennsylvania,771783.0,79554.0,712961.0,15253704640.0,3751893506.0,11501811134.0
Rhode Island,33056.0,7767.0,26173.0,936998068.0,402518792.0,534479276.0
South Carolina,127680.0,14973.0,114406.0,1832472437.0,756731340.0,1075741097.0
South Dakota,10455.0,3971.0,6884.0,353065062.0,157772564.0,195292498.0
Tennessee,106563.0,24382.0,85110.0,2816830252.0,1254792230.0,1562038023.0
Texas,888053.0,108170.0,800875.0,11695477561.0,4077345171.0,7618132390.0
Utah,20513.0,5947.0,15492.0,745474842.0,302633678.0,442841164.0
Vermont,15263.0,2581.0,13276.0,637766557.0,251844231.0,385922326.0
Virginia,149637.0,30093.0,123941.0,4935495096.0,1716108378.0,3219386718.0
Washington,152611.0,25434.0,133757.0,5211560753.0,905740455.0,4305820298.0
West Virginia,114339.0,13258.0,103320.0,1726166077.0,920498334.0,805667743.0
Wisconsin,192166.0,8655.0,184980.0,1685775673.0,261000283.0,1424775390.0
Wyoming,8727.0,2058.0,6927.0,259896019.0,98403749.0,161492271.0
